station_id,station_name,coord0_latitude,coord0_longitude,coord1_latitude,coord1_longitude,distance_meters
C2FB60,頭櫃山,24.131608,120.850769,24.129842,120.858925,850.6336482351443
C2H9D0,三隻寮,24.094845,120.853424,24.093078,120.861578,850.6930978846588
C2H9E0,國姓南港,23.912878,120.838415,23.911108,120.846556,850.624183530797
C2H9F0,柑林,24.020426,120.838924,24.018658,120.847072,850.592953817188
C2H9G0,百勝,24.052912,120.90121,24.051142,120.909361,850.7371873689581
C2M930,石卓,23.480516,120.694154,23.478744,120.702264,850.2706301486687
C2M940,日野賀,23.435829,120.719062,23.434056,120.727169,850.2710254668899
C2M950,太和,23.540143,120.694847,23.538372,120.702961,850.2773650976786
C2K630,荷苞,23.65948,120.587023,23.657717,120.595144,850.033459810659
C2H9H0,苗改南投蜂場,23.854353,120.685345,23.852589,120.693481,850.3395387314201
C2G9A0,畜試所彰化,23.862208,120.549828,23.86045,120.557964,850.1370509638708
C2E970,八甲,24.537566,120.787798,24.535811,120.795983,850.6302010159695
C2H9J0,中台,24.001373,120.930591,23.9996,120.938739,850.8408958560713
C2H9L0,馬烈霸,24.152982,121.193613,24.1512,121.201772,851.2076263140452
C2H9M0,發祥,24.155875,121.156357,24.154094,121.164517,851.2621905123049
C2H9N0,仁愛東眼,24.028656,121.112349,24.026875,121.1205,851.1730435607067
C2H9P0,伊拿谷,23.964991,121.080118,23.963211,121.088264,851.0513869466806
C2H9Q0,北東眼山,24.122721,121.181145,24.120939,121.189303,851.2994852988722
C2H9R0,卓社,23.889672,120.991946,23.887894,121.000086,850.8760643197301
C2H9S0,龍南,23.955305,120.825039,23.953536,120.833183,850.6304898126621
C2R970,屏科大,22.65006,120.611193,22.648275,120.619247,849.9980273752215
C2H9T0,名間竹圍,23.861675,120.629436,23.859914,120.637572,850.2171399166594
C2H9U0,鳳鵬,23.76569,120.779931,23.763919,120.788061,850.4752315629023
CAF010,國一N174K,24.206657,120.647035,24.2049,120.6552,850.8181661047718
CAG010,國一N198K,24.065639,120.514899,24.063889,120.523056,850.7385117983202
CAJ020,國一N234K,23.748078,120.459788,23.74633,120.467926,850.7882845450864
CAL010,國一N250K,23.612038,120.428737,23.610292,120.436867,850.7840405074295
CAD010,國一S105K,24.728088,120.932448,24.726316,120.940643,850.8213720368419
CAE020,國一S114K,24.670593,120.877616,24.668836,120.885811,850.8084703363643
CAE030,國一S123K,24.597708,120.852523,24.59594,120.86071,850.7733326214527
CAE040,國一S132K,24.526272,120.812648,24.524506,120.820831,850.7872885825525
CAE050,國一S152K,24.377254,120.74101,24.375492,120.749184,850.7508979357073
CAF020,國一S162K,24.297293,120.687806,24.295534,120.695976,850.7883200569785
CAF030,國一S169K,24.238875,120.680105,24.237116,120.688271,850.7640995138964
CAF040,國一S188K,24.120299,120.577587,24.118546,120.585747,850.7674272555739
CAG030,國一S207K,23.990053,120.499939,23.988304,120.508092,850.7917795098317
CAE060,國三N119K,24.677199,120.839196,24.675432,120.847389,850.8252328199859
CAE070,國三N151K,24.441976,120.673477,24.440218,120.681656,850.7282428789246
CAG040,國三N191K,24.141006,120.513338,24.139256,120.5215,850.75810925882
CAG050,國三N196K,24.108907,120.546322,24.107155,120.554482,850.813701104685
CAF050,國三N208K,24.067905,120.652763,24.066147,120.660919,850.8293989015417
CAE560,國一S144K,24.438818,120.770016,24.437042,120.778219,853.5741016445659
CAF950,國一N158K,24.334121,120.708967,24.332372,120.717144,850.9897162010583
CAF960,國三S175K,24.253246,120.58152,24.251494,120.589683,850.198374035239
CAF980,國三N183K,24.19538,120.562148,24.193628,120.570311,850.5644972537386
CAH010,國三N223K,23.956874,120.654227,23.955116,120.662376,850.8331252945121
CAJ010,國三N252K,23.775877,120.632472,23.77412,120.64061,850.8453239522504
CAE080,國三S140K,24.524106,120.716822,24.522345,120.725006,850.7714623618593
CAE090,國三S156K,24.399738,120.66131,24.39798,120.669487,850.8008954871004
CAF060,國三S168K,24.310274,120.606299,24.308519,120.614471,850.8009828567704
CAG060,國三S202K,24.094222,120.595098,24.092468,120.603256,850.7594800034085
CAH020,國三S217K,24.008587,120.645062,24.00683,120.653214,850.7806406607475
CAF090,國四E5K,24.298221,120.634964,24.296465,120.643135,850.8044304877523
CAA090,國三甲005K,25.003726,121.589277,25.00194,121.5975,852.1346910029938
CAC020,國二E009K,25.020014,121.265475,25.018244,121.273697,851.5168064191149
CAB050,國三N002K,25.147619,121.713466,25.14583,121.7217,852.342840426371
CAB030,國三S004K,25.116228,121.680369,25.11444,121.6886,852.2303364278006
CAB040,國三S007K,25.098727,121.65957,25.09694,121.6678,852.2218279216245
CAA030,國三S010K,25.081787,121.639272,25.08,121.6475,852.1375257620441
CAA040,國三S016K,25.034846,121.607575,25.03306,121.6158,852.126394804463
CAA050,國三S037K,24.984141,121.462821,24.982361,121.471042,851.9118059076441
CAA060,國三S042K,24.961778,121.422381,24.96,121.4306,851.8105625419932
CAA070,國三N046K,24.952607,121.387582,24.95083,121.3958,851.7467291966344
CAA990,國一N039K,25.066207,121.373771,25.064433,121.381972,849.2587423808312
CAC760,國一高架N063K,24.952048,121.188097,24.950281,121.196314,851.3949895001068
CAD710,國三N077K,24.799064,121.181827,24.797294,121.190033,851.3901526951112
CAC770,國三N072K,24.838161,121.191163,24.836391,121.199371,851.3322420900603
CAAD60,國五S005K,24.998202,121.643708,24.996414,121.651931,852.2227821312883
CAAD70,國五S006K,24.991753,121.64875,24.989964,121.656972,852.1930164396209
CAAD80,國五N008K,24.985201,121.659868,24.982411,121.668089,884.7698222535296
CAAD90,國五N013K,24.949395,121.697289,24.947603,121.705508,852.2542936605319
CAUB30,國五S031K,24.820942,121.774168,24.819144,121.782378,852.3656796506447
CAUB40,國五S041K,24.736563,121.773719,24.734764,121.781922,852.2522856722203
CAUB50,國五S047K,24.677257,121.786384,24.675456,121.794583,852.2952359967104
CAA080,國三S054K,24.940943,121.315683,24.93917,121.3239,851.6218837632354
CAC030,國三N063K,24.891285,121.255387,24.889514,121.2636,851.502454295137
CAD080,國三N085K,24.785096,121.112895,24.78333,121.1211,851.2799592323811
CAD090,國三S103K,24.76037,120.952631,24.75861,120.9608,847.7495724938407
CAB010,國一S001K,25.11762,121.720369,25.11583,121.7286,852.2730747480673
CAB020,國一S006K,25.088729,121.678671,25.08694,121.6869,852.2416431326288
CAA010,國一N013K,25.068524,121.619925,25.066739,121.628153,852.1729735689499
CAA020,國一S026K,25.078169,121.488172,25.07639,121.4964,851.9543254354857
CAC010,國一S072K,24.897595,121.125987,24.89583,121.1342,851.3071905341482
CAD020,國一N077K,24.886763,121.080688,24.885,121.0889,851.228498802464
CAD030,國一S082K,24.878431,121.038489,24.87667,121.0467,851.1335040036846
CAD040,國一S088K,24.8462,121.013191,24.84444,121.0214,851.1216744923861
